hwy,model,displ,cyl
24,a6 quattro,2.8,6
25,a6 quattro,3.1,6
23,a6 quattro,4.2,8
20,c1500 suburban 2wd,5.3,8
15,c1500 suburban 2wd,5.3,8
20,c1500 suburban 2wd,5.3,8
17,c1500 suburban 2wd,5.7,8
17,c1500 suburban 2wd,6,8
19,k1500 tahoe 4wd,5.3,8
14,k1500 tahoe 4wd,5.3,8
15,k1500 tahoe 4wd,5.7,8
17,k1500 tahoe 4wd,6.5,8
17,expedition 2wd,4.6,8
17,expedition 2wd,5.4,8
18,expedition 2wd,5.4,8
15,range rover,4,8
18,range rover,4.2,8
18,range rover,4.4,8
15,range rover,4.6,8
17,navigator 2wd,5.4,8
16,navigator 2wd,5.4,8
18,navigator 2wd,5.4,8
17,mountaineer 4wd,4,6
19,mountaineer 4wd,4,6
19,mountaineer 4wd,4.6,8
17,mountaineer 4wd,5,8
26,maxima,3,6
25,maxima,3,6
25,maxima,3.5,6
17,pathfinder 4wd,3.3,6
17,pathfinder 4wd,3.3,6
20,pathfinder 4wd,4,6
18,pathfinder 4wd,5.6,8
15,land cruiser wagon 4wd,4.7,8
18,land cruiser wagon 4wd,5.7,8
